bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 351588 15782272   5924 119336  839 1315   924  1320   92   96  0  1 97  2  0
 0  0 351588 15782272   5924 119336    0    0     0     0   87   68  0  0 100  0  0
 0  0 351588 15782208   5924 119388    0    0     0     0   86   96  0  0 100  0  0
 0  0 351588 15782208   5924 119388    0    0     0     0   83  102  0  0 100  0  0
 1  0 351588 15550272   5924 119196  208    0   208     0  296  286  1  0 99  0  0
 1  0 351588 11850728   5924 119412    0    0     0     4 1258  189  6  2 91  0  0
 1  0 351588 8107836   5924 119412    0    0     0     0 1086   84  6  2 92  0  0
 1  0 351588 4364976   5924 119412    0    0     0     0 1092   88  6  2 92  0  0
 1  0 351588 867272   5924 119412    0    0     0     0 1111  252  6  2 92  0  0
 1  0 476772 157840   5924 115040    0 125280     0 125280 1260 1094  2  4 93  2  0
 1  0 597604 160176   5932 114980    0 120860    48 120884 1026  913  0  2 90  7  0
 1  0 792420 159412   5932 114656    0 194648     0 194648 1206 1090  1  3 94  3  0
 1  1 962916 159088   5932 114836    0 170660     0 170660 1146 1004  1  3 93  3  0
 0  1 1136484 159416   5932 114660    0 173376     0 173376 1133 1031  1  3 94  3  0
 0  1 1328996 160660   5932 114980    0 192544     0 192544 1255 1109  1  3 94  3  0
 0  1 1516644 160924   5932 114808    0 187712     0 187748 1360 1161  1  3 93  2  0
 0  1 1698916 160140   5932 114840    0 182272     0 182272 1242 1078  1  3 94  3  0
 0  1 1855192 160048   5932 114840    0 156352     0 156352 1072  968  1  3 95  2  0
 1  0 2021988 160312   5932 114720    0 167172     0 167172 1108 1015  1  3 94  2  0
 0  1 2180196 160256   5932 115224    8 157764   296 157764 1107 1010  0  3 95  2  0
 0  1 2354276 160864   5932 114912    0 174080     0 174128 1290 1155  1  3 95  1  0
 0  1 2527076 160908   5932 115292    0 172736     0 172736 1155 1030  1  3 94  2  0
 0  1 2690148 159144   5932 115128    0 163136     0 163136 1082  979  1  3 95  2  0
 1  0 2869860 159952   5932 114960    0 179624     0 179624 1278 1121  1  4 94  2  0
 0  1 3040360 160704   5932 115128    0 170584     0 170584 1134 1026  1  3 95  2  0
 1  2 3194552 159816   5940 115128    0 154252     0 154272 1133  989  1  3 95  2  0
 1  0 3372856 161224   5940 115200    8 178224     8 178224 1184 1137  1  3 92  4  0
 1  0 3524196 160152   5940 114952    0 151552     0 151552 1071  954  1  3 95  2  0
 1  0 3705444 160148   5940 115020    0 180972     0 180972 1207 1110  1  3 94  2  0
 0  1 3875172 160116   5940 114936    0 169912     0 169912 1164 1018  1  3 94  2  0
 2  0 4054848 161544   5940 114904    0 179548     0 179548 1289 1121  1  3 94  2  0
 0  1 4224612 159824   5940 114960    0 169956     0 169956 1113 1027  1  3 94  2  0
 1  0 4385892 160740   5940 114940    0 161576     0 161576 1137 1077  1  3 95  2  0
 0  1 4569444 159956   5940 115128    0 183192     0 183192 1229 1099  1  4 94  2  0
 0  2 4702564 159312   5940 115696    0 133088   648 133088 1223 1053  1  3 91  6  0
 1  0 4856420 158724   5940 116008    0 153704   296 153704 1477 1197  1  3 94  2  0
 1  0 5008484 158520   5940 116704    0 152852   560 152852 1289 1165  1  3 92  4  0
 0  1 5175140 160500   5940 116640    0 166564     0 166564 1163  989  1  3 93  3  0
 0  2 5340260 158736   5940 116836    4 165216   196 165216 1389 1125  1  3 93  3  0
 0  2 5465292 157628   6072 117000  116 124928   404 124932 1092  955  0  3 86 11  0
 1  0 5632612 160184   6076 116752    0 167280     0 167344 1192 1078  1  3 92  4  0
 0  1 5799012 160528   6076 117004    0 166512     0 166512 1211 1042  1  4 93  2  0
 1  0 5948516 160004   6076 116984   40 149532    40 149532 1168 1073  1  4 94  1  0
 1  1 5961828 181376   6072 116252 37228 50476 37228 51196 2492 2750  4  1 92  3  0
