bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 345188 15755536   9388 130452  624  977   713   982   83   82  0  1 97  2  0
 0  0 345188 15755788   9396 130488    0    0     0    56   82  113  0  0 100  0  0
 1  0 345188 12564556   9396 130488   72    0    72     0 1017  208  5  2 93  0  0
 1  0 345188 8821664   9396 130488    0    0     0     0 1094  111  6  2 92  0  0
 1  0 345188 5082608   9396 130488    0    0     0     0 1244  159  6  2 92  0  0
 1  0 345188 1487620   9396 130488    0    0     0     0 1302  270  6  2 92  0  0
 0  1 349796 162128   9396 121972    0 4760     0  5904  929  681  3  3 93  2  0
 1  0 515248 161612   9372 122116    0 165476     0 165476 1180 1024  1  3 95  2  0
 1  0 689252 161004   9372 121772    0 173816     0 173816 1190  979  1  3 94  3  0
 1  1 857444 160932   9372 121964    0 168392     0 168392 1127  935  0  3 94  3  0
 0  1 995376 161624   9380 121956    0 137920    32 137968 1079  918  0  3 90  8  0
 0  2 1135212 161672   9380 122952    0 139904  1060 139904 1095  995  1  2 92  5  0
 0  1 1248592 161648   9380 123912    8 113344   916 113344 1022  884  1  2 91  7  0
 0  1 1433444 161752   9380 123964    0 184992     0 184992 1231 1037  1  3 93  3  0
 0  1 1609572 162088   9380 123964    0 176160     0 176160 1226 1041  1  3 94  3  0
 1  0 1799524 161872   9380 124120    0 189788     0 189788 1419 1219  1  3 93  2  0
 1  0 1977700 163580   9380 124072    0 178176     0 178176 1226 1060  1  3 94  2  0
 1  0 2153828 161748   9380 124060    0 176128     0 176128 1145 1041  1  3 94  2  0
 0  1 2320996 161888   9388 123960    0 167236     0 167292 1088 1036  1  3 92  4  0
 1  0 2510180 162108   9388 123912    0 189116     0 189116 1256 1228  1  3 93  2  0
 0  1 2690148 162368   9388 123968    0 180164     0 180164 1299 1093  1  3 94  2  0
 0  1 2873188 161864   9388 123968    0 183008     0 183008 1221 1079  1  3 94  2  0
 1  0 3058788 161468   9388 123768    0 185408     0 185408 1184 1038  1  3 94  2  0
 0  1 3233636 160404   9388 123656    4 175008     4 175008 1294 1074  1  3 94  2  0
 0  1 3402404 159796   9388 123756    0 168640     0 168640 1112  946  1  3 94  3  0
 1  0 3560692 161392   9388 123796    0 158396     0 158396 1078  948  1  3 94  3  0
 0  1 3750500 160180   9388 123768    0 189764     0 189764 1201 1066  1  3 94  2  0
 0  1 3932772 159740   9388 123724    0 182240     0 182240 1236 1080  1  3 93  3  0
 0  1 4117092 159572   9388 123704    0 184352     0 184352 1239 1065  1  3 94  2  0
 0  1 4252260 159896   9396 123768    0 135168     0 135180  892  818  1  3 92  5  0
 0  1 4437092 159716   9396 123564    0 184740     0 184740 1273 1137  1  3 94  1  0
 1  0 4623460 159628   9396 123736    0 186604     0 186604 1320 1134  1  3 94  2  0
 1  0 4801892 161008   9396 123816    0 178220     0 178220 1180 1023  1  3 94  2  0
 1  1 4990888 159824   9396 123520    0 189092     0 189092 1271 1058  1  3 94  2  0
 1  0 5178468 159904   9396 123560    0 187456     0 187456 1265 1059  1  4 94  2  0
 0  1 5365604 159844   9396 123736    0 187328     0 187328 1293 1127  1  4 93  3  0
 0  1 5541120 160004   9396 123564    0 175456     0 175456 1178 1028  1  4 94  2  0
 1  1 5717348 161896   9396 123844    0 176124    16 176124 1539 1268  1  4 91  5  0
 2  0 5899364 160304   9396 123704    0 181988     0 181988 1259 1089  1  4 94  2  0
 0  1 5937764 167568   9396 123488 27444 65848 27444 65848 2189 2213  4  1 93  1  0
 0  2 5938788 166364   9396 122260 86692 87612 86740 87612 4334 6114  1  2 93  4  0
 0  1 5971144 218984   9376 119088 62112 94776 62204 94804 3331 4438  0  2 91  7  0
 0  2 5944420 199360   9380 117084 90428 63516 90428 63572 4008 6138  0  2 92  5  0
 1  0 5914980 170868   9380 115360 103604 73744 103604 73744 4628 7082  1  2 95  2  0
 0  2 5914468 183224   9208 112952 65736 65632 66816 65632 3279 4653  0  2 92  5  0
 0  2 5893988 169000   8904 113384 76180 55304 77368 55392 4440 5702  1  2 92  6  0
 0  1 5904228 176820   8776 113376 22736 32768 23088 33516 1936 1951  1  1 92  6  0
 0  2 5896332 163716   8352 112584 79864 71712 79864 71712 3820 5605  1  2 94  4  0
 1  2 5894244 166708   7964 111828 59972 57804 60144 57804 3091 4319  1  2 92  6  0
 0  1 5871608 161016   6920 111156 79604 56916 79756 56916 3915 5624  0  2 93  5  0
 0  3 5816420 168088   4528 105256 67696 12432 67732 13004 3219 4681  2  1 90  7  0
 0  1 5766756 152456   3016 101584 100860 51340 101256 51340 4692 7071  1  2 95  2  0
 0  1 5763940 167544   1820  86832 74952 72064 75332 72064 3681 5264  0  2 92  6  0
 0  1 5757876 167572   1820  86588 71696 65692 71908 65692 3516 5027  1  2 93  4  0
 1  1 5764708 167068   1820  86072 88208 94788 88208 94788 4104 6051  1  2 92  5  0
 0  2 5748068 153900   1820  85960 88172 71684 88172 71684 4064 6054  1  2 93  4  0
