bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 14175524  94876 1304372    0    0    60     7   25   27  0  0 99  0  0
 0  0      0 14175484  94876 1304392    0    0     0     0  172  141  0  0 100  0  0
 1  0      0 14174192  94876 1304392    0    0     0     0   74   98  0  0 100  0  0
 1  0      0 12155168  94876 1304392    0    0     0     0 1093   68  5  4 92  0  0
 1  0      0 10072884  94876 1304392    0    0     0     0 1100  101  5  4 92  0  0
 1  0      0 7990356  94876 1304392    0    0     0     0 1079   71  5  4 92  0  0
 1  0      0 5910812  94884 1304392    0    0     0    28 1203  165  5  4 92  0  0
 2  0      0 3828536  94884 1304392    0    0     0     0 1091   81  5  3 92  0  0
 1  0      0 1751300  94884 1304392    0    0     0     0 1104   93  5  4 92  0  0
 1  0   2828 688976  82172 366860    0 2432     0  3092 1616  458  5  6 90  0  0
 0  7 284672 135140   1216  79384  232 369884  9784 369884 26400 13673  1  4 72 23  0
 3  6 538380 146920    992  77960  208 272952  6748 273000 23231 12413  0  2 67 30  0
 0  7 802572 178268   1112  79432   36 156264  1356 156264 18871 4737  0  3 62 35  0
 1  7 934156 137880   1112  75240   92 131576  2028 131592 12779 2658  1  3 74 23  0
 0  7 1101824 136424   1112  71996  208 167220  3280 167220 20566 6355  1  2 71 26  0
 2  4 1199372 135896   1108  71040   96 97812  1448 97812 8894 5524  0  2 78 19  0
 0  5 1328908 137824   1104  69640   80 129224  1188 129224 15486 2912  1  3 71 25  0
 0  6 1448204 135488   1236  68524   32 119256  1000 119256 12331 4552  1  3 74 22  0
 2  2 1538048 136860   1384  67656   28 90044  1908 90044 6368 2749  0  2 78 20  0
 2  3 1649932 140168   1528  68384   24 111996  1236 111996 13313 5734  1  3 79 18  0
 0  6 1752076 135480   1636  69672   68 101776  1960 101776 12723 4459  1  3 74 23  0
 1  8 1868300 135460   1472  68872   12 116196   608 116196 12275 3485  1  3 69 28  0
 0 10 1953548 136320   1464  69016   68 85400   920 85400 10927 6119  0  2 68 29  0
 0  8 2061836 135196   1464  69772   64 108016  2028 108016 6666 2508  1  2 65 32  0
 0  6 2162188 135248   1468  70436  104 100580  1144 100580 7720 2281  0  2 77 20  0
 0  6 2291712 135408   1464  70368   88 129132  1200 129132 8957 2227  1  3 72 25  0
 1  5 2417932 137500   1468  69960   84 126976   308 126976 14984 3548  1  3 73 23  0
 1  5 2543884 135264   1544  69248   36 125796   472 125796 14713 4875  1  3 75 21  0
 0  5 2663180 135388   1544  69304   32 118532   872 118532 9514 3275  1  3 69 28  0
 0  6 2746124 135596   1544  69492   44 83468   744 83468 11390 4745  1  2 73 24  0
 0  7 2828288 135200   1676  70116   68 82376  1248 82376 8954 5733  0  2 74 24  0
 0  8 2931456 137964   1492  69232   92 103292   208 103292 11628 4545  1  3 63 34  0
 1 10 3024088 150720   1412  69104   28 93348   964 93348 8080 6241  1  3 62 34  0
 0  6 3124312 135048   1404  69772   84 99688  1804 99688 10401 2606  1  3 74 22  0
 0  8 3221460 135304   1536  69588   68 97076   684 97076 11001 8907  1  3 78 18  0
 1 10 3315200 135236   1536  71016  128 93688  1288 93684 8694 7411  1  3 64 32  0
 0 11 3425772 135232   1656  70172  204 110728  1424 110732 6730 3184  0  3 61 36  0
 0 11 3525632 185868   1792  71460  164 100164  1592 100164 4643 5135  0  2 64 34  0
 0  9 3621376 135580   2308  71776  372 95324  2680 95324 4970 3610  1  3 68 29  0
 1 10 3721984 166300   2416  71636  192 100808  2856 100808 9735 3091  0  3 61 36  0
 1  8 3811792 135276   2652  72952  108 89636  2136 89636 8327 3120  0  3 71 26  0
 0  9 3907072 136764   2224  72272  204 95592  2780 95592 9197 4932  1  3 61 35  0
 0  9 4000944 156404   1980  72360   96 93324  2860 93324 11004 3855  1  3 62 35  0
 1  7 4095488 135920   2312  73060  224 94764  2516 94792 9214 1116  1  2 63 35  0
 0  9 4193536 135220   2528  72020  216 98748  2108 98756 7385 2362  1  3 65 31  0
 0  8 4283392 135340   2348  71316  112 89908  1592 89908 10893 9598  0  3 69 28  0
 0  8 4408576 148644   2312  70820   64 125160   644 125160 12345 2801  1  3 63 33  0
 0  8 4518544 139376   1924  69800  164 109740  3020 109744 10892 4018  1  4 66 30  0
 0  8 4605652 135012   2012  70980  140 87520  2456 87524 6955 3117  1  3 67 30  0
 0  9 4719872 138992   2264  70476  124 113948  1012 113948 12829 6719  1  3 70 27  0
 1  7 4811776 135152   2440  72316  108 91944  2208 91944 6836 1283  1  2 64 33  0
 0  8 4925952 134948   2048  71572   56 114244   928 114244 14106 4604  1  3 64 31  0
 1 10 5020928 135236   2592  71436   72 95152  1560 95152 10434 3816  0  3 64 32  0
 0 12 5120512 137540   2404  70992   52 99380  1680 99384 8378 3756  1  3 64 33  0
 0 14 5208064 135524   2328  71068   60 88788  1444 88816 9953 6696  0  3 57 40  0
 0 13 5296640 137544   2508  70392  128 88504  1820 88548 6402 1532  0  2 43 54  0
 0 11 5408512 146828   2440  70224   80 111664   712 111664 11098 1572  1  3 57 39  0
 2  9 5506304 141976   2684  71768  132 97900  2872 97900 6803 3030  1  3 61 36  0
 0 11 5604096 136556   2776  70604  116 97796  1376 97796 8676 4462  0  3 60 36  0
 0 11 5704448 135336   2908  71144  148 100900   852 100900 12164 4050  1  4 63 33  0
 2 11 5776896 148812   2120  70600  244 72444  2424 72472 11408 3012  3  2 56 39  0
 0  7 5792512 158736   3076  77604 2580 17840 10460 17840 5855 1191  2  1 69 29  0
 0 10 5792768 162484   4316  81040 3060 2456 12180  2460 1169 1277  0  1 71 29  0
 0  7 5790720 151520   5648  87020 2756    0  9912     0 1830 5489  0  1 69 30  0
 0  7 5800960 162104   6048  91776 4792 16236  9780 16236 1509 1509  0  1 76 23  0
 0  7 5796096 151684   6316  95388 5504    0  9840     0 1701 1584  0  0 78 21  0
 0  8 5822464 185044   6452  95852 5064 30364  7196 30364 2036 1380  0  1 66 33  0
 0  9 5819904 179236   6868  98872 3828    0  7500   108 1186 1391  0  0 72 28  0
 0  8 5816832 169272   6888 102792 4820    0  8540     0 1456 1694  0  0 69 30  0
 0  4 5811712 156936   7312 107072 6120    0 10456     0 1742 1665  0  0 81 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  5 5915136 261812   7004  99452 3900 106412  5624 107356 1906 1136  0  2 76 22  0
 0  4 5907456 251356   7712 103780 7812    0 10612     0 1716 1329  0  0 77 22  0
 1  3 5895936 236116   7728 111412 12692    0 13672     0 2355 1714  0  1 81 18  0
 0  3 5890048 223736   8276 115752 9836    0 13264   140 1648 1455  0  1 83 16  0
 0  3 5883648 210688   8420 116956 11652    0 12852     0 1675 1761  0  1 84 15  0
 0  4 5878784 201040   8928 121140 5728    0 10500     0 1659 1333  0  1 87 12  0
 1  2 5874176 188620   9072 125440 5400    0  9736     0 2344 1894  1  1 85 13  0
 0  3 5860864 168280   9980 128848 14076    0 17916    40 3165 2517  1  2 83 15  0
 2  3 5852416 159052  10480 129396 21800 12140 24000 12304 5257 4837  2  4 82 13  0
 0  4 5856000 164776  10696 129600 20428 24420 22092 25304 8310 5914  4  6 78 13  0
 1  3 5851648 156372  11840 130568 7176 2248  8984  2248 7621 5626  4  6 74 16  0
 0  8 5864904 164724  11804 131208 5564 17144  6764 17144 5103 4131  2  4 62 32  0
 1  2 5875712 167416  12688 133852 6692 16364 10176 16368 7674 5444  4  5 72 20  0
 1  2 5870336 157968  13700 137848 5568    0 10448     0 6274 4418  3  5 80 12  0
 1  3 5886464 164684  13612 141548 1376 17788  5960 18504 7380 5272  4  6 70 20  0
 2  1 5880064 153768  14568 144808 6620    0 10508     0 8313 6228  5  6 77 12  0
 3  2 5917184 183316  14452 148476 12296 48964 18408 49568 7918 6224  5  7 76 13  0
 2  1 5933568 238564  13556 134812 36532 53288 37428 53288 6419 5800  3  5 84  9  0
 1  1 5874176 178884  13680 136052 59680    0 60672     0 8859 9530  3  5 85  6  0
 0  2 5843692 154512  13616 135072 46812 16240 47452 16324 8265 7620  4  6 80 11  0
 1  1 5861120 164692  13536 134916 20840 38600 22872 39144 5472 24207  5  3 81 12  0
 1  1 5849344 157524  13028 132792 42600 30676 42896 30676 3854 39377  1  3 91  5  0
 0  2 5864192 180140  12072 131260 32280 46968 34268 46968 3193 2917  0  2 91  7  0
 1  1 5842176 154852  12500 133424 22372    0 24732     0 3973 3465  2  2 89  8  0
 0  3 5841920 162412  11704 133740 32072 31460 33316 32380 3384 3239  1  2 89  9  0
 0  5 5839104 161776  12120 135408 3312    0  6852     0 1909 1444  1  1 77 22  0
 0  5 5834752 166508  12212 137756 7772 2736 10676  3164 2070 1771  0  1 82 17  0
 0  1 5815808 158468  12708 136548 34768 16336 37000 16996 3971 4484  1  1 87 11  0
 0  0 5817344 167020  12360 131484 45604 46704 45604 46704 3338 3945  1  2 94  4  0
 0  1 5808640 162232  10372 128860 55668 45620 55736 45620 3199 4177  0  2 95  3  0
 0  1 5794816 150972   8772 128100 37828 20736 37828 20908 2111 3034  0  1 91  8  0
 1  0 5813504 162628   7652 126452 43576 60428 43576 60592 3028 3581  0  2 94  4  0
 0  1 5788160 149996   7436 124928 59796 33732 59796 33732 3242 4476  1  2 94  4  0
 0  1 5804800 161840   5928 121168 41052 57812 41052 57812 2987 3499  0  1 93  6  0
 1  0 5793792 162808   5768 118816 46636 34520 46760 34520 3438 3998  2  2 93  4  0
 1  0 5769296 164588   5032 114172 64084 39388 64084 39388 4069 5388  1  2 94  4  0
 0  1 5740720 180236   3256  99708 52772 24488 52916 24492 2988 4316  0  2 93  5  0
 0  1 5813760 253884   2544  92560 36148 109192 36280 109192 2596 3079  0  2 93  5  0
 0  1 5713664 156548   2544  92436 100228    0 100228     0 4842 7867  1  2 95  2  0
 0  2 5715968 166368   2236  86788 51824 53748 52284 53748 3761 4283  0  2 92  5  0
 0  1 5721144 176400   3712  89612 14240 19644 18824 19644 2156 1814  0  1 92  7  0
 2  1 5699128 149624   4872  92600 22476    0 26548     0 1758 2109  0  0 93  6  0
 0  4 5746944 190440   5496  94004 2724 50448  8036 50448 1150  800  0  1 89 10  0
 0  2 5740800 178616   6080  99284 6572    0 11916     0 1633 1378  0  0 89 10  0
 0  2 5736448 168620   7224 103208 4400    0  9536     0 1531 1454  0  0 88 12  0
 1  1 5730816 155284   8144 109256 5616    0 12076     0 1882 1793  0  1 91  8  0
 0  2 5739520 162212   8940 109564 4652 13020  8752 13808 1648 1253  0  1 92  7  0
 0  2 5733632 151912   9724 114128 5528    0 10608     0 1100 1080  0  0 95  5  0
 0  2 5763508 166284   9868 119188 3628 33664 10280 33736 1142  900  0  1 88 11  0
 0  2 5757620 153920  10968 125144 6196    0 12608     0 1748 1572  1  1 90  9  0
 0  3 5772032 169424   8904 132344 12992 27384 82048 27932 3298 2652  1  2 90  7  0
 0  2 5779560 155492   9172 154028 7232 14816 32040 14816 1912 1431  0  1 90  8  0
 0  2 5768808 167200   8120 131400 10752    0 55428     0 2130 1786  1  1 92  6  0
 0  2 5762152 159544   7808 132488 7072    0 39200     0 1979 1600  1  1 91  7  0
 0  2 5756264 163276   7588 123144 5568    0 25924    72 1244 1049  0  1 90  9  0
 0  2 5751144 164740   7544 117588 5152    0 25124     0 1499 1098  0  1 93  6  0
 0  4 5838184 239836   7672 123152 3616 90892 21396 90892 2056 1328  0  2 80 17  0
 1  1 5841288 238016   7664 138548 6912 10012 34100 10012 1640 1254  0  1 92  7  0
 1  1 5832584 182448   7664 185340 8784    0 55504     0 1864 1608  1  1 92  6  0
 1  1 5821320 155356   6268 201092 11076    0 66504    64 2348 1826  1  2 92  6  0
 1  1 5812872 158536   5292 192612 8668    0 45408     0 1886 1520  1  1 91  8  0
 0  2 5803400 153660   4540 188464 9460    0 51700     0 2077 1578  1  1 92  6  0
 0  2 5798792 155360   4336 182264 4760    0 20612     0 1840 1492  0  1 84 15  0
 1  1 5801984 168660   3976 175144 8800 11940 46436 11940 2169 1515  1  2 91  7  0
 0  2 5793536 168076   3692 167188 8224    0 42404     0 1802 1447  1  1 92  7  0
 0  2 5783808 152860   3560 173912 9888    0 53800     0 2255 1767  1  2 92  6  0
 0  2 5777152 154452   3468 165244 6688    0 41492     0 1815 1309  1  1 92  6  0
 0  3 5769728 172236   3328 140140 7464    0 42512     0 1817 1592  1  1 91  7  0
 0  2 5762304 157604   3424 146508 7552    0 40384     0 1927 1540  1  1 91  8  0
 0  4 5758720 194180   4704 104456 3648    0 16564     0 1576 1208  0  1 87 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 5752576 176240   5392 112352 8724    0 17516     0 1193 1267  0  0 90 10  0
