wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 799020 14942964  14884 802732   15  247    31   250    1    1  1  0 97  1  0
 0  0 799020 14942964  14884 802732    0    0     0     0   87   74  0  0 100  0  0
 0  0 799020 14942192  14884 802768    0    0     0     0  148  135  0  0 100  0  0
 1  0 799020 12988708  14892 802776    0    0     0    32  817  236  3  1 95  0  0
 1  0 799020 9231584  14892 802796    0    0     0    20 1096   91  6  2 92  0  0
 1  0 799020 5472340  14892 802796    0    0     0     0 1074   75  6  2 92  0  0
 1  0 799020 2195856  14644 782728    0    0     0     0 1112  303  5  3 92  0  0
 1  0 799020 601172  14348 722408    0    0     0     0 1327 1322  3  5 92  0  0
 1  0 799020 161940  14188 255528    0    0     0     0 1293 1864  2  7 92  0  0
 0  3 875156 159512  12188 197752   92 76788  1420 77216 1743 1761  0  4 86  9  0
 0  2 993684 156712  11564 193156    0 118428   788 118428 1452 1785  0  3 88  8  0
 1  0 1122788 159524  11540 193548    8 129052   360 129052 1602 1467  0  4 91  5  0
 0  1 1265812 159472  11540 193548    0 142964     0 142964 1236  981  1  4 94  2  0
 0  1 1399188 158432  11540 193616    0 133536    68 133536  984  906  0  3 95  2  0
 1  0 1542548 163132  11540 193652    0 143380     0 143380  958  849  0  3 95  1  0
 1  0 1677716 162388  11548 193864    0 135176     0 135240  913  893  0  3 92  5  0
 1  0 1812884 162788  11548 193716    0 135184     0 135184  954  792  0  3 95  2  0
 1  0 1951124 161984  11548 193552    0 138604     0 138604  975  861  0  3 94  2  0
 1  0 2083220 162008  11548 193660    0 131740     0 131740  934  816  0  3 95  2  0
 0  1 2232124 162044  11548 193616    0 148804     0 148804 1167 1212  1  4 94  1  0
 0  1 2367892 159532  11548 193616    0 135872     0 135872  986  882  0  3 95  1  0
 0  1 2519188 162088  11548 193616    0 151080     0 151080 1089  988  0  4 94  2  0
 1  0 2656404 161580  11548 193496    0 137212     0 137212 1067  912  0  3 96  1  0
 1  0 2798076 159988  11548 193588    0 141784     0 141784  958  864  0  3 95  2  0
 0  1 2945428 161680  11548 193616    0 147428     0 147428  983  930  0  3 95  2  0
 0  1 3084180 161860  11548 193616    0 138592     0 138592  978  896  0  3 95  1  0
 0  1 3226004 160104  11548 193616    0 142016     0 142016  976  884  0  3 95  1  0
 1  0 3367316 162424  11548 193656    0 141308     0 141308 1142  990  0  3 94  2  0
 0  1 3526580 161544  11548 193468    0 159276     0 159276 1034  980  0  3 95  1  0
 1  0 3660356 161640  11548 193704    0 133588     0 133588  943  858  1  3 94  2  0
 1  0 3799188 161876  11548 193376    0 138792     0 138792  971  873  0  3 95  2  0
 0  1 3932564 162280  11548 193620    0 133596     0 133596  928  866  0  3 94  2  0
 0  2 4071828 161456  11548 193960    0 139264   340 139264 1313 1076  1  3 93  3  0
 0  1 4201620 161312  11548 194236    0 129696   248 129696 1321 1120  1  3 92  5  0
 0  1 4347028 161940  11548 193992    0 145408     0 145408 1042  944  0  3 95  1  0
 1  0 4485268 162092  11548 194104    0 138116     0 138116 1024  928  0  3 94  2  0
 0  1 4641940 161688  11548 194224    0 156796     0 156796 1228 1008  1  4 95  1  0
 0  2 4768916 159652  11556 194292    0 126848     0 126900 1296 1087  1  3 92  4  0
 1  0 4907668 162032  11556 194332    0 138716     0 138716 1007  976  0  3 91  5  0
 0  1 5075452 161408  11556 194216    0 167940     0 167940 1118 1055  0  4 94  1  0
 2  0 5208724 161640  11556 194556    0 133116     8 133116 1138  977  1  3 95  2  0
 1  0 5356180 162996  11556 194472    4 147456    80 147456 1203 1167  1  4 93  2  0
 0  2 5423900 161908  11556 194384    0 67588     0 68616  870  634  0  2 93  5  0
 0  1 5531540 161488  11564 194204    0 107840     0 107952  772  788  0  2 90  7  0
 1  0 5683348 161816  11564 194352    0 151564     0 151564 1060  983  0  4 94  2  0
 0  1 5851796 160360  11564 194384    0 168628     0 168628 1124 1077  0  4 93  2  0
 1  0 6013588 159812  11564 194556    0 161788     0 161788 1097 1043  0  4 94  2  0
 0  1 6179476 161640  11564 194384    0 165860     0 165860 1257 1150  0  4 94  2  0
 0  1 6278548 159500  11572 194376    0 98992     0 99068  724  715  0  2 94  4  0
 1  0 6458040 163576  11572 194512    0 179564     0 179564 1218 1151  1  4 93  2  0
 0  1 6584980 173052  11472 193908 10500 137216 10500 137216 1503 1549  0  3 92  4  0
 0  2 6571412 164656  11012 192444 69628 56100 69668 56100 3802 5112  1  2 92  5  0
 0  3 6561172 159876   9776 186100 63448 53216 63696 53276 3705 4811  1  2 91  7  0
 0  1 6542484 160764   7728 174416 49108 30032 49108 30564 2609 3575  0  1 91  7  0
 0  3 6507924 168212   2868 145740 70528 35856 72300 35856 3925 5191  1  2 92  5  0
 0  2 6504852 164748   2868 152032 3200    0  9244     0 1309  903  0  0 89 11  0
 0  2 6504852 176096   2692 145672 78084 78132 80240 78136 4181 5613  0  2 93  4  0
 0  2 6486932 162676   3808 147320 18168  152 20700   228 1668 1968  0  1 89 11  0
 0  2 6500244 161600   4784 148324 43264 56468 46020 56480 2928 3540  0  2 92  6  0
 0  2 6502292 174744   4784 147408 58992 60716 59216 60716 3123 4252  0  2 94  4  0
 0  2 6491028 174240   4784 145556 69176 57964 69296 58332 3696 4947  0  2 93  5  0
 0  2 6497428 176004   4532 143320 59264 65640 59268 65800 3077 4206  0  2 93  4  0
 1  1 6470292 163876   4064 142492 79264 51900 79264 51900 3847 5545  0  2 93  5  0
 0  3 6472084 168680   4328 143856 28464 30428 30916 30428 2061 2578  0  1 90  8  0
 0  4 6467220 156588   5596 148596 5052    0 10700     0 1498 1148  0  0 89 10  0
 0  4 6491796 179480   5344 151712 2888 27340  8160 27388 1288  912  0  1 84 16  0
 1  3 6502804 183684   5596 155404 24432 35388 29628 35388 2179 2263  0  1 87 11  0
 0  1 6497172 175328   6088 158040 5356    0  8324     0 1784 1218  1  0 88 12  0
 0  1 6491028 177816   5108 150572 68608 62196 68608 62200 3416 4851  1  2 93  5  0
 0  2 6471572 154916   6180 153468 19312    0 23076     0 2191 2389  0  1 91  8  0
 0  3 6479764 170580   6168 153784 6196 14356  6956 15228  998  945  0  0 90  9  0
 1  0 6459540 165044   6168 153644 61700 41152 62068 41576 3291 4475  0  2 92  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 6464148 172392   6132 153280 57564 61672 58132 61672 3211 4203  0  2 88 10  0
 0  2 6472852 174196   5960 153544 46744 55348 47232 55760 2893 3595  0  2 91  7  0
 0  2 6462356 177432   5716 152940 63824 53308 64000 53384 3210 4567  0  2 95  3  0
 1  0 6463380 169600   5492 152656 60804 61572 60932 61572 3241 4421  0  2 94  4  0
 0  2 6454420 163836   5248 152116 48912 39936 48920 40008 2373 3472  0  1 89 10  0
 1  1 6443156 162576   4760 151648 80792 69368 80792 69368 4092 5704  1  2 94  4  0
 1  0 6434196 160308   4696 150772 64392 55516 64392 55516 3165 4496  0  2 93  5  0
 0  1 6438804 175680   4428 150012 69240 74108 69240 74108 3500 4889  0  2 93  4  0
 1  1 6440340 166608   4420 149368 60296 61484 60804 61484 3304 4399  0  2 93  5  0
 0  1 6457712 175160   4196 149456 50500 68016 50500 68016 2774 3673  0  2 93  5  0
 0  2 6445448 163820   3384 149092 87072 74768 87072 74768 4182 6014  1  2 94  4  0
 0  2 6443412 160040   3192 148652 64296 62400 64296 62400 3366 4619  0  2 92  6  0
 0  2 6463620 176168   2788 147324 60928 81184 60928 81184 3037 4250  0  2 92  5  0
 0  2 6458772 178424   2740 146988 64824 60064 64912 60064 3347 4679  0  2 93  5  0
 1  0 6438292 156728   2680 146652 69112 48256 69112 48256 3464 4849  0  2 93  5  0
 1  1 6449812 176164   2632 145960 65484 76732 65484 76732 3297 4609  0  2 92  5  0
 0  0 6443028 169864   2632 145688 65560 58796 65560 58796 3305 4667  0  2 94  4  0
 1  1 6435988 158776   2632 145216 75344 68180 75344 68180 3734 5265  1  2 93  5  0
 0  2 6454164 178660   3236 145452 34572 52748 35984 52760 2343 2714  0  2 92  6  0
 0  4 6449556 166776   4328 151452 4440    0 10756     0 1289 1043  0  0 94  6  0
 0  3 6519956 226720   4176 149592 16148 86392 19392 86392 1928 1641  0  2 86 12  0
 0  1 6446556 155876   4176 149616 96948 23268 96960 23268 4293 6634  1  2 92  6  0
 0  3 6542740 253684   4476 148416 8156 104516  9184 104516 1371  967  0  2 84 14  0
 0  3 6538900 243728   4980 153916 4120    0 10140     0 1608 1563  0  1 85 14  0
 0  1 6480788 183964   5240 156308 58000    0 60496     0 3265 4387  0  1 93  5  0
 0  3 6508948 204856   3988 149448 67720 95624 67792 95680 3650 4820  0  2 92  5  0
 1  0 6498196 202368   3988 149432 58032 47328 58216 47328 2888 4156  0  2 92  6  0
 0  2 6545812 253020   3384 144352 56704 104224 56704 104224 2856 4010  0  2 91  7  0
 0  1 6502548 208984   3384 150636 44696 1496 50176  1496 2854 3513  0  1 92  7  0
 0  3 6496916 194320   4964 157232 6056    0 14296     0 1795 1544  0  1 88 11  0
 0  2 6487188 178900   4964 164964 9752    0 15900     0 1491 1391  0  0 94  6  0
