wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 791096 15581740  11444 196168   18  243    34   247    2    2  1  0 97  1  0
 0  0 791096 15581488  11444 196168    4    0    32     0  231  196  0  0 100  0  0
 1  0 791096 15581488  11444 196368   12    0   180     0  137  163  0  0 100  0  0
 0  0 791096 15581488  11444 196368    4    0     4     0  106  108  0  0 100  0  0
 1  0 791096 15189816  11452 196364   12    0    12    56  442  279  1  0 99  0  0
 1  0 791096 11456936  11452 196364    0    0     0     0 1257  163  6  2 92  0  0
 1  0 791096 7701884  11452 196392    0    0     0     0 1102  104  6  2 92  0  0
 1  0 791096 3942860  11452 196392    0    0     0     0 1091   66  6  2 92  0  0
 1  0 791096 1689224  10556 185072    0    0     0     0 1122  711  4  4 92  0  0
 1  0 791096 401332  10556 184884    0    0     0     0 1106 1202  3  5 92  0  0
 1  0 883512 159832   7592 174356    0 92372     0 93204 1155 1036  1  3 92  4  0
 0  1 1018240 159164   6360 165396    0 134792     0 134816  994  876  0  3 94  2  0
 0  1 1157432 159600   6360 165140    0 139264     0 139264 1052  916  0  3 95  2  0
 0  1 1287940 161468   6360 165396    0 130400     0 130400  937  846  0  3 95  2  0
 1  0 1426744 160868   6360 165504    0 138788     0 138788 1003  917  0  3 93  3  0
 1  0 1539384 160104   6368 165412    0 112648     0 112688  952  811  0  3 90  7  0
 1  0 1690936 162636   6368 165432    0 151600     0 151600 1098  937  0  3 94  3  0
 2  1 1837624 159380   6368 165412    0 146800     0 146800 1020  903  0  3 94  3  0
 1  0 1969572 172948   6368 163812    0 131928     0 131928  881  676  0  3 92  5  0
 1  0 2110412 156104   3360 138144    0 145336   128 145368 1335 1009  1  4 91  5  0
 0  4 2234136 153724   1952 133172    0 119004  1560 119004 1507 1128  0  4 80 16  0
 0  4 2358036 157360   1880 132520    8 124060   200 124060 1341 1590  0  3 78 18  0
