wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 806292 15578592   8840 182892   14  245    29   248    1    1  1  0 97  1  0
 0  0 806292 15579860   8840 182928    0    0     0     0  216  175  0  0 100  0  0
 0  0 806292 15579348   8840 182928    0    0     0  1164  326  203  0  0 100  0  0
 1  0 806292 14619368   8840 182928    4    0     4     0  424  166  2  1 97  0  0
 2  0 806292 10874460   8840 182928    0    0     0     0 1078  106  6  2 92  0  0
 1  0 806292 7127724   8848 182952    0    0     0    68 1082  114  6  2 92  0  0
 1  0 806292 3881100   8848 182952    0    0     0     0 1114  350  6  3 92  0  0
 1  0 806292 1660564   8848 182924    0    0     0    88 1225  776  4  4 92  0  0
 1  0 822676 162612   8540 180296    0 16580     4 16580 1312 1395  3  5 92  0  0
 0  1 987540 160720   8540 180164    0 164676     0 164676 1172  995  1  3 93  3  0
 1  1 1116120 160028   8540 180260    0 128960    32 128956 1013  865  0  3 94  3  0
 0  1 1243028 159992   8540 180416    0 126672   212 126676  998  895  0  3 91  6  0
 0  2 1375636 161260   8540 180492    0 132452    76 132452 1090  924  1  3 93  4  0
 0  1 1496420 161496   8548 180772    0 120908   264 120968 1283 1049  0  3 90  7  0
 0  1 1583252 161708   8548 180804    4 86748   104 87320 1083  877  1  2 90  8  0
 0  1 1721236 158796   8548 180796    0 137940     0 137940 1019  919  0  3 94  2  0
 1  0 1843348 160608   8548 181132    8 122448    64 122448 1564 1230  1  3 91  5  0
 0  1 1980052 161992   8548 180856   16 136524    32 136524 1571 1207  1  3 91  5  0
 0  1 2115772 161204   8556 181000    0 135644     0 135700 1068  924  0  3 91  6  0
 0  3 2207892 160420   8556 181128    0 92160    20 93104 1400 1098  1  2 93  4  0
 0  1 2271380 159924   8556 181168    0 63488    40 63780  858  625  0  2 93  5  0
 0  1 2407540 161196   8556 181484   60 136176   396 136176 1291 1146  1  3 92  4  0
 0  1 2542840 161188   8556 181516    0 135504     4 135504 1228 1143  1  3 95  1  0
 0  2 2653076 160496   8564 181512    0 110224     0 110292  829  796  0  3 93  4  0
 1  0 2813076 161512   8564 181440    0 159772     0 159772 1095 1038  1  3 97 2220917200  0
 0  2 2954388 160992   8564 181452    0 141316    20 141332 1138 1025  1  3 94  2  0
 0  1 3089556 161324   8564 181480    0 135168     0 135168 1066 1018  1  3 95  1  0
 0  1 3229844 159304   8564 181540    0 140304     0 140304 1099  969  0  3 95  2  0
 1  0 3367060 162732   8564 181704    0 137212     0 137212 1067  973  1  3 95  1  0
 0  1 3489120 161316   8572 181532    0 122180     0 122236  865  839  0  3 92  5  0
 0  1 3575444 161388   8572 181540    0 86352     0 87340  821  668  0  2 97  1  0
 0  1 3723184 160524   8572 181540    0 147824     0 147824  962  915  0  3 95  1  0
 1  1 3879712 161668   8572 181292    0 156320     0 156320 1170 1041  1  4 95  1  0
 1  0 4028564 161952   8572 181744    0 148828     0 148828 1033  917  0  3 95  1  0
 1  0 4167828 161508   8572 181640    0 139264     0 139264  971  895  1  3 95  2  0
 0  1 4307604 161288   8572 181540    0 139940     0 139940  961  851  0  3 95  1  0
 1  0 4415636 162200   8580 181468    0 107868     0 107964  735  748  0  2 93  4  0
 1  0 4566164 161092   8580 181428    0 150512     0 150512 1207 1015  1  4 94  2  0
 0  1 4716692 161000   8580 181556    0 150548     0 150548 1066  983  1  3 95  1  0
 0  1 4872084 161252   8580 181556    0 155616     0 155616  987  973  0  4 95  1  0
 1  0 5012628 161000   8580 181496    0 140300     0 140300  946  877  0  3 95  1  0
 1  0 5143700 160484   8584 181480    0 131072     0 131076  897  881  0  3 93  4  0
 0  1 5309588 161072   8584 181568    0 165888     0 165888 1273 1120  1  4 94  2  0
 0  1 5467796 161420   8584 181632    0 158708    24 158708 1423 1209  1  4 92  3  0
 2  0 5618580 161896   8584 181436    0 150536     0 150536 1193 1028  1  4 95  1  0
 1  0 5770132 161104   8584 181568    0 151552     0 151552 1090 1002  0  4 95  1  0
 0  2 5883540 161288   8584 181588    0 113656     0 114164  901  802  0  3 94  2  0
 1  0 6037396 161076   8584 181756    4 153628     4 153680 1371 1173  0  4 94  1  0
 1  0 6172564 160344   8584 181852   12 135168    12 135168 1089 1015  1  3 94  2  0
 2  0 6285204 162140   8592 181804    0 112640     0 112704  752  755  0  3 93  4  0
 0  1 6453140 161600   8592 181608    0 167940     0 167940 1173 1081  1  4 94  1  0
 1  0 6525076 155124   8536 181204 32484 104468 32528 104468 2529 2994  1  3 94  2  0
 0  1 6521492 157780   8484 180112 38904 34856 39084 35392 2905 3260  1  1 87 12  0
 0  3 6530452 172396   8012 175412 42380 51372 42412 51816 2508 3227  0  1 88 10  0
 1  0 6517652 159920   8012 175724 13072    0 13384   204 1460 1518  0  1 87 12  0
 0  2 6516116 170064   4400 157092 58144 56620 58644 56620 3656 4390  0  2 90  8  0
 0  2 6489492 168592   2184 145124 35704 8516 36524  8584 2009 2763  0  1 88 10  0
 0  2 6482324 157452   3368 150504 6652    0 12912     0 2057 1633  0  1 90  9  0
 0  1 6506900 179660   3928 149096 12484 36884 15268 37660 1899 1734  0  1 93  6  0
 0  1 6497012 188668   3288 142092 71664 61752 71844 61752 3630 5072  1  2 93  5  0
 2  1 6512788 198788   1976 140144 41856 57892 43208 57892 2645 3274  0  1 92  7  0
 0  2 6528148 220696   2240 140968 32484 47152 33532 47152 2246 2602  0  1 90  9  0
 0  2 6524308 213388   4104 143196 3756    0  7732    84  772  810  0  0 93  7  0
 0  4 6520980 202236   5252 149388 3420    0 10628     0 1831 1466  0  1 91  8  0
 0  2 6560404 251940   5152 148032 53112 92548 55356 92548 3513 4045  0  2 90  7  0
 0  1 6548884 238140   5444 151428 11432    0 15220     0 1574 1461  0  1 91  8  0
 0  2 6482056 165564   5392 148976 113688 46708 113964 46712 5142 7844  1  2 94  3  0
 1  1 6470544 160312   5396 150912 42672 31144 44792 31144 2841 3421  0  1 92  7  0
 0  2 6467732 156128   5396 151436 49848 47116 50568 47116 3166 4111  0  1 93  6  0
 0  1 6477180 169908   5284 151864 41960 51228 42564 51284 2583 3243  0  1 88 10  0
 0  1 6481044 180240   5096 151900 65936 69680 65936 69680 3379 4685  0  2 94  4  0
 0  2 6474188 169664   5008 151840 53964 47116 53968 47608 3200 4108  0  2 92  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6499988 178988   4844 151412 47988 73772 47988 74060 2808 3617  0  2 92  6  0
 1  0 6482324 163868   4676 151388 73244 55356 73244 55356 3556 5142  1  2 95  3  0
 0  2 6485396 165616   4424 151116 72348 75292 72380 75292 3732 5162  1  2 93  5  0
 0  1 6487700 174952   4252 151172 60088 62072 60088 62072 3162 4351  0  2 93  4  0
 0  1 6469268 156996   4164 150832 75860 57400 75860 57400 3701 5254  1  2 94  4  0
 0  3 6493076 174432   4164 150112 63016 86340 63016 86340 3300 4452  0  2 94  3  0
 0  1 6483600 177204   4172 150448 29832 20296 29832 20336 1559 2271  0  1 85 14  0
 0  1 6467620 153572   4172 149844 81836 65656 82076 65656 4116 5799  1  2 92  5  0
 0  2 6476468 171912   4196 151728 34472 43052 36608 43052 2271 2729  0  1 91  8  0
 1  2 6483348 177912   2428 152016 45164 51920 47256 52296 3238 3644  1  2 91  7  0
 1  2 6562452 219492   2568 152880  780 79876  1316 79960  893  517  0  2 81 17  0
 0  5 6660244 238628   2596 155480 1340 99036  4628 99036 1314  937  0  2 77 21  0
 0  1 6631316 197388   2728 158328 53052 23852 55636 23852 3270 4463  0  2 87 11  0
 0  1 6610400 161324   2728 158368 63740 43008 63740 43584 3256 4613  0  2 95  3  0
 1  1 6696852 240420   2736 157396 11488 98008 11488 98080 1180 1158  0  2 89 10  0
 1  0 6630036 168268   2736 157536 110172 43360 110172 43360 4967 7531  1  2 94  3  0
 1  1 6634388 169244   2736 157316 76752 80932 76752 80932 3870 5361  1  2 92  5  0
 1  2 6640532 158416   2736 158044 53168 59020 53940 59112 3605 4276  1  2 91  7  0
 0  1 6660244 176868   2736 158124 53388 73368 53388 73884 2860 3877  0  2 92  6  0
 0  1 6658452 174788   2736 157676 65716 63596 65716 63596 3274 4626  0  2 94  3  0
 1  1 6637460 152676   2744 157592 56988 36232 56988 36288 2817 4038  1  2 92  6  0
 0  3 6650944 155172   2744 157984 50932 64232 51228 64232 3124 3799  0  2 93  4  0
 0  1 6661268 156432   3144 158272 46904 57400 47980 57400 3109 3621  0  2 93  5  0
 1  1 6661268 154664   3144 158176 64940 64288 64940 64288 3575 4652  0  2 94  3  0
 0  2 6673312 154736   3144 158752 42648 54612 43104 54612 2919 3456  0  2 92  6  0
 1  1 6668692 154240   3144 158880 50448 45844 50616 46544 2996 3804  0  2 93  5  0
 1  0 6673044 152948   3144 158796 58256 62832 58256 62832 3465 4320  0  2 94  3  0
 0  1 6671764 153792   3152 158976 48488 47168 48832 47244 3103 3728  1  2 89  9  0
 0  1 6672020 153800   3152 158920 67124 67660 67124 67660 3743 4867  0  2 93  4  0
 0  1 6671988 152792   3152 158920 63884 63556 63884 63556 3446 4599  0  2 93  5  0
 0  1 6666132 150524   3152 158676 55424 49212 55424 49680 3153 4074  0  2 94  4  0
 0  1 6668692 150524   3152 158536 66908 69700 66908 69700 3817 4815  1  3 94  3  0
 0  1 6666644 149012   3152 158280 73788 71740 73788 71740 4040 5318  0  3 93  4  0
 1  1 6667668 149516   3160 157980 37964 38948 37964 39012 2090 2773  0  1 91  8  0
 0  1 6666328 149512   3160 157980 73320 71744 73320 71744 3940 5268  0  3 93  3  0
