wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 786836 15600868   8528 178300   17  242    33   246    2    2  1  0 97  1  0
 0  1 786836 15600868   8536 178292    0    0     0    64  107  102  0  0 100  0  0
 0  0 786836 15600868   8536 178324    0    0     0     0   81   91  0  0 100  0  0
 0  0 786836 15600868   8536 178324    0    0     0     0   66   69  0  0 100  0  0
 1  0 786836 13386784   8536 178348    0    0     0     0  931  254  4  2 95  0  0
 1  0 786836 9635480   8536 178544    0    0   196     0 1112  102  6  2 92  0  0
 1  0 786836 5880332   8536 178544    0    0     0     0 1106   87  6  2 92  0  0
 1  0 786836 2831108   8544 178036    0    0    36    20 1430  503  5  3 91  0  0
 1  0 786836 1116384   8544 178020  160    0   160     0 1384 1078  4  5 91  0  0
 0  2 831208 155728   8532 172304   12 44332   116 44920 1194 1334  2  4 92  2  0
 1  3 956796 155128   8532 171876    0 125520    96 125520 1350 1424  0  3 84 14  0
 0  3 1084316 141460   8532 169636    0 127680    60 127680 1210 1315  0  3 87 10  0
 0  3 1201460 150796   8528 167480    0 116984   136 116984 1084 1500  0  2 89  9  0
 0  3 1291828 156932   8484 164176    4 90440   540 90768  995 1031  0  2 81 17  0
 0  4 1411104 157140   5020 138824    8 119204   236 119492 1322 1204  0  4 84 12  0
 0  7 1495672 153968   2868 130140    8 84800   652 84884 1114 1123  0  3 77 20  0
 0  7 1798652 139224   2740 129864   60 302996  1436 302996 2750 3927  0  3 68 29  0
 1  4 1904220 161232   2604 129604   60 105748   944 105812 1008 1169  0  2 68 29  0
 0  5 2022784 154760   2356 128012    8 118644   284 118644 1211 1391  0  3 72 24  0
 2  3 2149520 143184   2496 128804   20 126340   592 126340 1433 1869  0  3 77 20  0
 1  3 2234944 156768   2204 126804   44 85944  2340 85944 2452 2335  1  6 71 22  0
 0  5 2358824 156744   2204 126948   52 123640   876 123640 1576 1704  1  3 75 21  0
 1  7 2467332 155360   2204 126568  168 108284   484 108284 1995 2484  1  5 69 25  0
 2  2 2553432 169460   2336 126396   72 86156   548 86172 1328 1421  1  3 73 24  0
 0  4 2696156 156172   2440 126028   20 142664   488 142664 1734 1791  1  4 86 10  0
 0  5 2815868 155900   2440 126100   28 120232   460 120232 1269 1428  0  3 89  8  0
 2  5 2941640 161560   2440 126036   76 125860   252 125860 1624 2116  1  3 71 25  0
 1  6 3070140 156080   2436 125840   64 128296   160 128296 1371 1769  0  3 76 21  0
 0  4 3169704 154364   2708 126540   60 99656  1012 99656 1178 1526  0  2 78 19  0
 0  4 3275504 156596   2832 126600   32 106060   264 106060 1155 1388  0  3 78 19  0
 1  3 3405116 161756   2956 126400   28 129572   400 129572 1674 1897  1  4 75 21  0
 1  3 3543200 157688   2956 126496    4 137804    16 137804 1253 1727  0  3 78 19  0
 1  3 3681160 178100   2956 126880   32 137816   148 137816 1749 2130  1  4 71 25  0
 0  4 3786488 162956   3084 126992   20 105580   372 105580 1490 1787  0  4 79 17  0
 0  5 3898104 157060   3220 127484   84 111300   980 111300 1945 2021  1  4 84 11  0
 0  5 4025084 157240   3220 127080   32 127172   120 127172 1834 2126  1  4 82 13  0
 2  3 4149348 157556   3220 126952   60 124088   180 124088 1489 1834  1  4 79 17  0
 2  2 4273988 161708   3224 127232   24 124808   288 124808 1554 1934  0  3 84 12  0
 0  4 4401752 155960   3224 127460   24 127580   532 127580 1488 1562  0  3 84 12  0
 0  5 4531820 159144   3224 127420    4 130276   124 130276 1201 1676  0  3 78 18  0
 2  3 4640388 157004   3224 127988   64 108804   416 108804 1166 1557  0  3 76 20  0
 0  4 4764672 156300   3224 128124   40 124208   504 124208 1731 1858  1  4 86 10  0
 0  6 4911264 156972   3224 128056   52 146688   140 146688 1368 1167  1  3 69 27  0
 1  4 5019040 158952   3224 128020   44 107712   576 107712 1584 1444  1  4 72 24  0
 1  5 5136228 172108   3224 128012   44 117132   236 117132 1690 1988  1  4 74 21  0
 0  3 5251884 157536   3228 128012   56 115440   312 115540 1543 1841  1  4 77 18  0
 0  4 5366076 157136   3228 128512   36 114084   680 114084 1152 1400  0  3 81 15  0
 1  3 5490588 155452   3368 128428   28 124604   296 124604 1342 1963  0  3 80 17  0
 0  5 5621276 157160   3372 128960   36 130532   296 130532 1285 1589  0  3 81 16  0
 0  7 5740372 159488   3520 129868   52 119608  1128 119608 1332 1446  0  3 70 27  0
 0  8 5866184 157888   3520 130532   52 125556   468 125556 1239 1617  0  3 69 28  0
 2  5 5958600 158796   3648 131660  104 92568  1584 92632 1225 1221  0  2 64 33  0
 1  7 6087296 159704   3648 132052  124 128724   712 128720 1665 1861  0  3 67 30  0
 1  5 6188124 157328   3652 133524   32 101212  1156 101216 1424 1651  0  4 64 32  0
 1  2 6233420 156956   3840 134548  212 45196  4176 45196 2386 2752  2  7 75 16  0
 1  4 6351180 156808   3804 134512   40 117832  1076 117832 1354 1360  0  4 79 17  0
 0  4 6467044 155524   3616 131200   20 115844   852 115844 1908 2208  1  4 82 13  0
 0  4 6571124 156180   3616 131632   20 103832   932 103832 1007 1153  0  3 84 13  0
 0  4 6683960 179536   3880 132212   80 113220   716 113220 1007 1101  0  3 82 15  0
 1  4 6758712 210048   3960 134368 2024 76364  5408 76364 1610 1344  0  2 88 10  0
 0  4 6754872 202676   4636 137476 4340    0  8148     0 1163 1213  0  0 79 20  0
 0  5 6751032 190872   4660 145564 4600    0 11652     0 1170 1003  0  0 86 13  0
 0  3 6745400 181800   4924 149376 7216    0  9476     0 1422 1436  0  1 82 17  0
 0  2 6736696 171216   4924 152344 9852    0  9976     0 1284 1314  0  0 90 10  0
 0  2 6726712 160380   4924 156780 10148    0 10712     0 1363 1357  0  0 90 10  0
 0  2 6735672 173572   4284 148524 10388 14336 10388 14856 1388 1278  0  1 91  8  0
 0  4 6727480 162232   4292 150252 12052    0 13556    64 1628 1526  0  0 91  8  0
 0  2 6722360 152412   4432 154228 5432    0  9576     0 1030  965  0  0 87 13  0
 1  1 6729528 161012   4432 156528 12128 18432 14480 18432 1687 1549  0  1 91  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 6724152 162248   4432 156484 15836 16384 16596 16384 2149 1836  0  1 90  9  0
 0  2 6799160 252448   4544 153236 11112 86028 12244 86028 1634 1460  0  2 84 14  0
 0  1 6737208 193772   4544 153640 58708    0 59160     0 3311 4534  1  1 94  4  0
 0  1 6697272 166832   4472 153012 64500 36872 64500 36872 3667 4924  1  2 94  3  0
 1  2 6699832 167556   4416 153140 34876 36864 35448 36876 2272 2855  1  1 93  6  0
 0  2 6704440 173856   4280 152936 32360 36872 32776 36872 2551 2744  1  1 92  6  0
 0  2 6698808 163508   6148 158212 3240    0 10576     0 1384 1100  0  0 82 18  0
 0  2 6691640 152412   6688 161828 5424    0  9420     0 1787 1387  0  1 87 12  0
 0  4 6725944 176352   6860 162860 3260 36872  5260 37228 1189  885  0  1 82 17  0
 0  6 6722104 168752   6860 165424 3888    0  6356     0  986  959  0  0 84 16  0
 0  5 6718520 162412   6868 166800 4456    0  5628    80 1214 1114  0  0 83 17  0
 0  2 6711608 152756   6868 167824 7704    0  8712     0 1708 1539  0  0 85 14  0
 0  8 6743096 173656   6732 168428 4632 34816  5848 34816 1729 1207  0  1 74 25  0
 0  7 6738488 167820   7176 169624 4420    0  6180     0 1235 1197  0  0 75 25  0
 0  5 6732856 160196   7788 171392 5584    0  7732     0 1987 1775  0  1 76 23  0
 0  5 6771768 195784   6556 165844 4176 42776  9036 42828 1512 1244  0  1 84 14  0
 0  3 6835768 264476   6560 165884 2060 65888  3328 65888 1216 1029  0  1 82 17  0
 0  6 6828856 257568   6560 168060 6184    0  8312     0 1842 1734  0  0 79 20  0
 0  4 6824248 252656   6796 168972 5448    0  6520     0 2208 1667  1  1 76 23  0
 0  2 6818104 241516   6956 172760 6544    0 10220     0 2044 1355  0  0 89 10  0
 0  2 6812472 228336   8764 176304 5652    0 10600     0 1342 1186  0  0 94  6  0
 0  2 6807096 214160   9060 183252 5436    0 12620     0 1145  974  0  0 94  5  0
