wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 804200 15578516  10020 190160   12  243    27   246    1    1  1  0 97  1  0
 0  0 804200 15578216  10020 190156    0    0     0     0  188  159  0  0 100  0  0
 1  0 804200 13661668  10020 190148    8    0     8     0 1241  175  5  4 92  0  0
 1  0 804200 11587928  10020 190160    0    0     0     0 1212  162  5  4 92  0  0
 1  0 804200 9514464  10020 190160    0    0     0   800 1416  216  5  4 91  0  0
 1  0 804200 7438228  10020 190160    0    0     0     0 1222  185  5  4 92  0  0
 1  0 804200 5361244  10020 190160    0    0     0     0 1147  117  5  4 92  0  0
 2  0 804200 3285512  10020 190160    0    0     0     0 1189  152  5  4 92  0  0
 2  0 804200 1216860  10020 190160    0    0     0     0 1138   82  5  4 92  0  0
 1 12 1341008 135124   1624 132424 1912 840860  7316 840960 71973 28815  1  3 61 35  0
 0 10 1725584 140344   1892 132256  356 161004  1944 161004 15587 7319  0  3 49 47  0
 0 12 1896784 137096   1880 132388  204 119292   984 119292 19560 8539  0  3 58 39  0
 0 14 2136360 136812   2016 132792  772 328820  3120 328820 23559 12987  0  3 51 47  0
 2 13 2327656 135480   2024 132832  408 120612  1440 120612 15354 9831  0  2 56 42  0
 0 13 2474000 136256   2156 132940  256 105320  1472 105320 14854 7805  0  3 56 41  0
 0 10 2544008 139184   2156 133424  172 66920  2200 66920 7791 6182  0  3 63 34  0
 1 13 2634688 135120   2156 133804  132 90652   964 90652 10579 4218  1  3 44 52  0
 1 14 2704936 135304   2156 133780   76 70372   480 70372 7513 6119  0  3 55 42  0
 0 18 2802624 145492   2156 133368  116 97600   116 97600 11633 3167  1  4 50 46  0
 1 19 2890704 136912   2156 134028  180 87940   688 87940 9120 4234  1  3 42 55  0
 0 18 2962640 158852   2160 134004  232 71956   780 71956 4945 3187  0  2 42 55  0
 0 20 3039952 174468   2220 133948  216 77868  1204 77876 5019 6581  0  2 54 43  0
 0 20 3131568 135092   2212 133944  184 91168   184 91168 9603 2628  1  3 25 72  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 3238576 135008   2308 134192  628 106984  1996 106984 9822 4566  0  2 46 51  0
 1 15 3332456 135868   2308 134228   80 93592   152 93616 12821 5251  1  4 37 59  0
 2 10 3386192 135240   2312 133688   48 54460   732 54460 6894 5550  0  2 49 48  0
 0  9 3467640 134616   2320 134728   64 81312  1788 81312 8224 5869  0  3 61 35  0
 0 13 3537256 136208   2448 134304   72 69776   316 69776 10423 4087  1  3 54 43  0
 0 14 3612776 135108   2712 134320  108 75500  1316 75500 7524 5164  0  3 49 48  0
 0 10 3701576 134972   2976 135456   72 88648  1884 88648 10311 4130  1  3 52 45  0
 0 13 3794264 179720   3024 133624  100 92748   816 92748 5381 3942  0  3 47 50  0
 3  8 3885252 134980   2904 131868  108 90736   540 90736 9908 4683  1  3 48 48  0
 1 16 3993992 141912   2736 131320   92 108816   600 108816 12035 3634  1  3 32 64  0
 2  6 4078728 135268   2748 132464  140 84604  1224 84604 9253 4040  1  3 59 38  0
 0 14 4157896 134912   2984 132124   44 79416  1092 79416 10010 5417  1  3 50 45  0
 1 13 4246824 135788   2976 132124  104 88440  1000 88440 9877 2749  0  3 27 69  0
 1 14 4336920 172044   3108 133004   12 90348  1076 90348 7252 4136  0  3 70 27  0
 1 13 4408600 159872   3372 133992   44 71956  2608 71956 5853 4602  0  3 53 44  0
 1 13 4506832 135168   3460 133612   40 98316  1208 98316 10819 4615  1  4 44 51  0
 0 14 4573784 145112   3464 136432   72 67048  2860 67048 5212 3387  0  3 41 56  0
 0 17 4662872 135056   3596 136088   44 89060  1292 89060 10407 3945  1  4 26 70  0
 2 16 4746328 134864   3260 133272   40 83508   452 83508 8193 5910  1  3 47 49  0
 1 17 4843096 140984   3208 133656  120 96636  1536 96636 5891 4115  1  3 48 48  0
 0 19 4923992 138800   2888 131704   84 81388  1196 81388 5844 4607  1  3 45 51  0
 1 18 4995928 145116   2892 132752   64 72960  1900 72960 3698 3660  0  3 39 58  0
 0 18 5081916 134884   3008 131316   92 85276   652 85276 11418 5371  1  3 28 68  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 18 5157692 137304   3024 132740  120 75964  1772 75964 6139 5685  0  3 50 47  0
 0 18 5252976 135700   3024 131620  140 95236  1604 95236 8781 3620  1  4 47 49  0
 0 19 5343504 157868   3024 131520  148 90760   412 90760 8294 3025  1  3 41 55  0
 1 18 5413904 134984   2140 132772  148 70516  2580 70516 6654 4200  1  3 39 58  0
 1 19 5464452 178084   1780 131516   32 50348   364 50348 2674 5142  0  2 39 59  0
 0 13 5552400 135796   2132 130748  184 88288  1392 88288 7945 3806  1  3 35 61  0
 0 21 5640728 137244   2272 130964  164 88588  1588 88588 7448 4848  0  3 44 53  0
 0 21 5717852 144584   2276 131304  216 77308  1520 77308 5439 5527  0  3 41 56  0
 1 17 5794320 135320   2284 131132  276 76668   796 76668 7428 4418  1  3 38 58  0
 0 18 5879568 151448   2412 131928  112 84936  1512 84936 6344 4368  0  3 52 44  0
 0 17 5967888 165588   2412 131544  356 88104  1568 88104 3584 3017  0  3 61 36  0
 0 17 6073180 136212   2412 131656  112 105424   784 105424 12279 2241  1  4 46 50  0
 0 16 6150492 136656   2416 132856  360 77644  2688 77644 6882 2658  1  3 47 50  0
 1  8 6249308 149288   2552 131656  176 98212   312 98212 11572 4179  1  4 47 48  0
 0 10 6342804 139744   2664 131468  116 93744  1220 93744 7989 3112  1  3 51 45  0
 0 10 6439572 156552   2780 131492  132 96828   824 96828 8905 4351  1  3 64 32  0
 0 15 6459028 168364   3064 134468 2784 21460  6068 21460 1987 2108  0  1 42 57  0
 0 16 6456212 157700   3464 139168 4060    0  8840     0 2416 2565  0  1 51 48  0
 1  7 6453652 157116   3496 138648 3972 2732  9548  2732 2543 2162  0  1 60 39  0
 0  4 6520468 224780   3496 143836 2176 68812  7168 68812 1515 1231  0  2 75 23  0
 0  6 6517652 215936   3828 149164 3392    0  8764     0 1047 1113  0  0 84 15  0
 0  6 6513812 206644   3836 152908 4956    0  8700     0 1221 1346  0  0 80 20  0
 0  2 6507412 196020   3844 156328 6980    0 10380     0 1335 1400  0  0 87 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 6497428 182656   4144 162544 10852    0 13076    48 1659 1471  0  1 89 10  0
 0  3 6481044 162716   4144 167544 19928    0 20204     0 2203 2035  0  1 90  9  0
 0  5 6484636 160952   3264 160472 13028 10388 14196 10564 1813 1652  0  1 88 11  0
 0  6 6482332 165716   3272 162724 2884  340  4980  1224 1092 1121  0  0 70 30  0
 0  7 6477212 157148   3828 165664 5636    0  9108     0 1415 1303  0  0 79 20  0
 0  5 6499476 168772   4224 169080 4848 26520  9412 26520 1461 1158  0  1 83 16  0
 0  5 6494612 160944   4232 170616 5328    0  7204    76 1330 1086  0  0 78 21  0
