wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 794220 15635120   7276 176292   16  241    32   245    2    2  1  0 97  1  0
 0  0 793708 15632096   7816 178060  272    0  2536     0  564  540  0  0 99  1  0
 1  0 793708 15631852   7816 178104    0    0     0     0   70   95  0  0 100  0  0
 0  0 793708 15630536   7816 178108   16    0   132     0  395  222  0  0 100  0  0
 0  0 793452 15630268   7936 177972  700    0   868     0  451  477  0  0 99  0  0
 1  0 793452 15332964   7936 178292    8    0     8     0  317  190  1  1 99  0  0
 1  0 793452 13266376   7944 178672    4    0   396    56 1304  200  4  4 91  0  0
 1  0 793452 11186124   7944 178688    4    0     4     0 1153  189  5  4 92  0  0
 1  0 793452 9102840   7944 178688    0    0     0     0 1096  102  5  4 92  0  0
 1  0 793452 7022800   7944 178688    0    0     0     0 1261  191  5  4 92  0  0
 1  0 793452 4939744   7944 178688    0    0     0     0 1085  104  5  4 92  0  0
 1  0 793452 2859232   7944 178688    0    0     0     0 1084   98  4  4 92  0  0
 1  0 793452 784768   7952 178688   12    0    12    44 1152  150  5  4 92  0  0
 0  8 1161744 137356   1728 132960  300 413204  2764 414244 38884 11299  1  3 70 26  0
 1 10 1282984 135888   1856 127620   60 76816   864 76816 8749 5002  0  3 57 40  0
 0 12 1344680 137000   2132 125380  144 61248   908 61300 6019 3828  0  2 67 30  0
 1  9 1452464 136988   2404 124376  188 108108  1684 108108 9232 1876  1  3 65 32  0
 0  7 1528380 136384   2540 125304  224 76192  1448 76192 8468 3657  0  3 70 26  0
 1  6 1630828 135108   2540 125244   76 101784   532 101784 9099 4499  1  3 77 20  0
 0  7 1744624 135228   2540 124548   68 114116    68 114116 12673 1926  1  3 71 26  0
 0  7 1836500 134800   2544 125364   40 91788  1556 91788 11371 2442  1  3 79 18  0
 0  6 1928004 135040   2544 125500   16 91952   692 91952 10322 5285  1  3 67 29  0
 0  7 2040716 135200   2544 125128    4 112540   324 112540 14827 1825  1  3 58 38  0
 0  4 2123916 135000   2548 125416    4 83356  1080 83356 9389 3629  1  3 72 25  0
 0  5 2205732 142528   2548 124984    0 81080   296 81080 9663 5042  0  3 75 21  0
 0  5 2278968 134720   2548 125416    0 73260   836 73260 9383 4598  0  3 78 19  0
 0  6 2357536 135228   2556 125408    4 78748   780 78748 9632 5795  1  3 75 22  0
