timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2020/05/18 16:54:32.002, 12.47, 0, 0
2020/05/18 16:54:32.120, 25.08, 2, 0
2020/05/18 16:54:32.257, 25.08, 0, 0
2020/05/18 16:54:32.380, 26.54, 0, 0
2020/05/18 16:54:32.495, 28.48, 0, 0
2020/05/18 16:54:32.597, 28.73, 0, 0
2020/05/18 16:54:32.699, 28.72, 0, 0
2020/05/18 16:54:32.800, 28.72, 0, 0
2020/05/18 16:54:32.902, 28.72, 0, 0
2020/05/18 16:54:33.004, 28.72, 0, 0
2020/05/18 16:54:33.106, 28.72, 0, 0
2020/05/18 16:54:33.212, 28.72, 0, 0
2020/05/18 16:54:33.313, 28.72, 0, 0
2020/05/18 16:54:33.415, 28.72, 0, 0
2020/05/18 16:54:33.517, 28.72, 0, 0
2020/05/18 16:54:33.619, 28.72, 0, 0
2020/05/18 16:54:33.720, 28.72, 0, 0
2020/05/18 16:54:33.822, 28.72, 0, 0
2020/05/18 16:54:33.924, 28.72, 0, 0
2020/05/18 16:54:34.025, 28.72, 0, 0
2020/05/18 16:54:34.127, 28.72, 0, 0
2020/05/18 16:54:34.234, 28.72, 0, 0
2020/05/18 16:54:34.335, 28.72, 0, 0
2020/05/18 16:54:34.437, 28.72, 0, 0
2020/05/18 16:54:34.539, 28.72, 0, 0
2020/05/18 16:54:34.640, 28.72, 0, 0
2020/05/18 16:54:34.742, 28.72, 0, 0
2020/05/18 16:54:34.844, 28.72, 0, 0
2020/05/18 16:54:34.945, 28.72, 0, 0
2020/05/18 16:54:35.047, 28.72, 0, 0
2020/05/18 16:54:35.149, 28.72, 0, 0
2020/05/18 16:54:35.255, 28.72, 0, 0
2020/05/18 16:54:35.357, 28.72, 0, 0
2020/05/18 16:54:35.459, 28.72, 0, 0
2020/05/18 16:54:35.560, 28.72, 0, 0
2020/05/18 16:54:35.662, 28.72, 0, 0
2020/05/18 16:54:35.764, 28.72, 0, 0
2020/05/18 16:54:35.866, 28.72, 0, 0
2020/05/18 16:54:35.967, 28.72, 0, 0
2020/05/18 16:54:36.069, 28.72, 0, 0
2020/05/18 16:54:36.171, 28.72, 0, 0
2020/05/18 16:54:36.277, 28.72, 0, 0
2020/05/18 16:54:36.379, 28.72, 0, 0
2020/05/18 16:54:36.481, 28.72, 0, 0
2020/05/18 16:54:36.583, 28.72, 0, 0
2020/05/18 16:54:36.685, 28.72, 0, 0
2020/05/18 16:54:36.786, 28.72, 0, 0
2020/05/18 16:54:36.888, 28.82, 0, 0
2020/05/18 16:54:36.990, 28.82, 0, 0
2020/05/18 16:54:37.091, 28.82, 0, 0
2020/05/18 16:54:37.193, 28.82, 0, 0
2020/05/18 16:54:37.299, 28.72, 0, 0
2020/05/18 16:54:37.401, 28.82, 0, 0
2020/05/18 16:54:37.503, 28.82, 0, 0
2020/05/18 16:54:37.605, 28.72, 0, 0
2020/05/18 16:54:37.706, 28.82, 0, 0
2020/05/18 16:54:37.808, 28.72, 0, 0
2020/05/18 16:54:37.910, 28.82, 0, 0
2020/05/18 16:54:38.012, 28.72, 0, 0
2020/05/18 16:54:38.114, 28.72, 0, 0
2020/05/18 16:54:38.215, 28.72, 0, 0
2020/05/18 16:54:38.322, 28.82, 0, 0
2020/05/18 16:54:38.475, 28.09, 0, 0
2020/05/18 16:54:38.576, 30.08, 8, 1
2020/05/18 16:54:38.682, 30.08, 8, 1
2020/05/18 16:54:38.784, 32.60, 74, 6
2020/05/18 16:54:38.886, 82.92, 77, 8
2020/05/18 16:54:38.988, 116.32, 77, 8
2020/05/18 16:54:39.090, 117.86, 100, 24
2020/05/18 16:54:39.191, 118.01, 100, 24
2020/05/18 16:54:39.293, 118.01, 100, 23
2020/05/18 16:54:39.396, 115.45, 100, 23
2020/05/18 16:54:39.497, 116.65, 100, 23
2020/05/18 16:54:39.599, 116.65, 100, 23
2020/05/18 16:54:39.705, 116.65, 100, 23
2020/05/18 16:54:39.807, 116.67, 100, 23
2020/05/18 16:54:39.908, 116.90, 100, 23
2020/05/18 16:54:40.011, 116.90, 100, 23
2020/05/18 16:54:40.112, 116.90, 100, 23
2020/05/18 16:54:40.214, 116.90, 100, 23
2020/05/18 16:54:40.316, 116.90, 100, 23
2020/05/18 16:54:40.417, 117.16, 100, 23
2020/05/18 16:54:40.519, 116.90, 100, 23
2020/05/18 16:54:40.620, 116.90, 100, 23
2020/05/18 16:54:40.722, 117.16, 100, 23
2020/05/18 16:54:40.828, 117.14, 100, 23
2020/05/18 16:54:40.930, 117.38, 100, 23
2020/05/18 16:54:41.031, 117.14, 100, 23
2020/05/18 16:54:41.133, 117.14, 100, 23
2020/05/18 16:54:41.234, 117.16, 100, 23
2020/05/18 16:54:41.336, 117.40, 100, 23
2020/05/18 16:54:41.438, 117.14, 100, 23
2020/05/18 16:54:41.539, 117.38, 100, 23
2020/05/18 16:54:41.641, 117.38, 100, 23
2020/05/18 16:54:41.742, 117.40, 100, 23
2020/05/18 16:54:41.844, 117.38, 100, 23
2020/05/18 16:54:41.950, 117.16, 100, 23
2020/05/18 16:54:42.051, 117.38, 100, 23
2020/05/18 16:54:42.153, 117.14, 100, 23
2020/05/18 16:54:42.255, 117.14, 100, 23
2020/05/18 16:54:42.356, 117.38, 100, 23
2020/05/18 16:54:42.458, 117.62, 100, 23
2020/05/18 16:54:42.559, 63.39, 100, 22
2020/05/18 16:54:42.661, 46.44, 100, 22
2020/05/18 16:54:42.763, 36.81, 69, 13
2020/05/18 16:54:42.980, 37.05, 2, 0
2020/05/18 16:54:43.082, 37.05, 0, 0
2020/05/18 16:54:43.184, 37.05, 0, 0
2020/05/18 16:54:43.286, 37.05, 0, 0
2020/05/18 16:54:43.387, 37.05, 0, 0
2020/05/18 16:54:43.493, 37.05, 0, 0
2020/05/18 16:54:43.595, 37.05, 0, 0
2020/05/18 16:54:43.696, 37.05, 0, 0
2020/05/18 16:54:43.798, 37.05, 0, 0
2020/05/18 16:54:43.900, 36.57, 0, 0
2020/05/18 16:54:44.001, 36.57, 0, 0
2020/05/18 16:54:44.103, 36.81, 0, 0
2020/05/18 16:54:44.205, 36.57, 0, 0
2020/05/18 16:54:44.306, 36.57, 0, 0
2020/05/18 16:54:44.408, 36.57, 0, 0
2020/05/18 16:54:44.515, 36.57, 0, 0
2020/05/18 16:54:44.616, 36.57, 0, 0
2020/05/18 16:54:44.718, 36.57, 0, 0
2020/05/18 16:54:44.820, 36.57, 0, 0
2020/05/18 16:54:44.921, 36.57, 0, 0
2020/05/18 16:54:45.023, 36.57, 0, 0
2020/05/18 16:54:45.125, 36.57, 0, 0
2020/05/18 16:54:45.226, 36.57, 0, 0
2020/05/18 16:54:45.328, 36.57, 0, 0
2020/05/18 16:54:45.430, 25.76, 0, 0
2020/05/18 16:54:45.531, 23.72, 0, 0
2020/05/18 16:54:45.637, 23.72, 0, 0
2020/05/18 16:54:45.739, 23.72, 0, 0
2020/05/18 16:54:45.840, 23.72, 0, 0
2020/05/18 16:54:45.942, 23.72, 0, 0
2020/05/18 16:54:46.044, 23.72, 0, 0
2020/05/18 16:54:46.146, 23.72, 0, 0
2020/05/18 16:54:46.247, 23.72, 0, 0
2020/05/18 16:54:46.349, 23.72, 0, 0
2020/05/18 16:54:46.451, 23.72, 0, 0
2020/05/18 16:54:46.552, 23.72, 0, 0
2020/05/18 16:54:46.659, 23.72, 0, 0
2020/05/18 16:54:46.761, 23.72, 0, 0
2020/05/18 16:54:46.862, 23.73, 0, 0
2020/05/18 16:54:46.964, 23.72, 0, 0
2020/05/18 16:54:47.066, 23.72, 0, 0
2020/05/18 16:54:47.168, 23.72, 0, 0
2020/05/18 16:54:47.269, 23.72, 0, 0
2020/05/18 16:54:47.371, 23.72, 0, 0
2020/05/18 16:54:47.473, 23.72, 0, 0
2020/05/18 16:54:47.574, 23.72, 0, 0
2020/05/18 16:54:47.680, 23.72, 0, 0
2020/05/18 16:54:47.782, 23.72, 0, 0
2020/05/18 16:54:47.884, 23.72, 0, 0
2020/05/18 16:54:47.986, 23.72, 0, 0
2020/05/18 16:54:48.087, 23.53, 0, 0
2020/05/18 16:54:48.189, 23.00, 0, 0
2020/05/18 16:54:48.291, 23.00, 0, 0
2020/05/18 16:54:48.392, 23.00, 0, 0
2020/05/18 16:54:48.494, 23.24, 0, 0
2020/05/18 16:54:48.663, 28.43, 0, 0
2020/05/18 16:54:48.765, 30.08, 13, 1
2020/05/18 16:54:48.866, 30.18, 13, 1
2020/05/18 16:54:48.968, 33.08, 74, 6
2020/05/18 16:54:49.070, 72.96, 74, 6
2020/05/18 16:54:49.172, 111.31, 79, 9
2020/05/18 16:54:49.273, 112.84, 100, 20
2020/05/18 16:54:49.375, 113.08, 100, 20
2020/05/18 16:54:49.476, 113.34, 100, 20
2020/05/18 16:54:49.578, 113.58, 100, 20
2020/05/18 16:54:49.680, 113.66, 100, 20
2020/05/18 16:54:49.786, 113.34, 100, 20
2020/05/18 16:54:49.888, 113.58, 100, 20
2020/05/18 16:54:49.989, 113.80, 100, 20
2020/05/18 16:54:50.091, 113.66, 100, 20
2020/05/18 16:54:50.193, 113.80, 100, 20
2020/05/18 16:54:50.295, 113.92, 100, 20
2020/05/18 16:54:50.396, 113.82, 100, 20
2020/05/18 16:54:50.498, 113.90, 100, 20
2020/05/18 16:54:50.600, 114.05, 100, 20
2020/05/18 16:54:50.701, 114.07, 100, 20
2020/05/18 16:54:50.803, 114.05, 100, 20
2020/05/18 16:54:50.909, 114.14, 100, 20
2020/05/18 16:54:51.010, 114.07, 100, 20
2020/05/18 16:54:51.112, 114.16, 100, 20
2020/05/18 16:54:51.214, 114.07, 100, 20
2020/05/18 16:54:51.315, 114.05, 100, 20
2020/05/18 16:54:51.417, 114.14, 100, 20
2020/05/18 16:54:51.518, 114.16, 100, 20
2020/05/18 16:54:51.620, 114.16, 100, 20
2020/05/18 16:54:51.722, 114.07, 100, 20
2020/05/18 16:54:51.823, 114.29, 100, 20
2020/05/18 16:54:51.925, 114.07, 100, 20
2020/05/18 16:54:52.031, 114.16, 100, 20
2020/05/18 16:54:52.133, 114.38, 100, 20
2020/05/18 16:54:52.234, 114.05, 100, 20
2020/05/18 16:54:52.336, 114.40, 100, 20
2020/05/18 16:54:52.437, 114.16, 100, 20
2020/05/18 16:54:52.539, 114.16, 100, 20
2020/05/18 16:54:52.641, 114.14, 100, 20
2020/05/18 16:54:52.742, 114.38, 100, 20
2020/05/18 16:54:52.844, 114.14, 100, 20
2020/05/18 16:54:52.945, 114.64, 100, 20
2020/05/18 16:54:53.047, 48.67, 100, 20
2020/05/18 16:54:53.153, 45.56, 99, 16
2020/05/18 16:54:53.255, 37.15, 34, 11
2020/05/18 16:54:53.417, 37.39, 34, 10
2020/05/18 16:54:53.519, 37.30, 0, 0
2020/05/18 16:54:53.621, 37.39, 0, 0
2020/05/18 16:54:53.722, 37.39, 0, 0
2020/05/18 16:54:53.824, 37.39, 0, 0
2020/05/18 16:54:53.925, 37.39, 0, 0
2020/05/18 16:54:54.027, 37.30, 0, 0
2020/05/18 16:54:54.129, 37.30, 0, 0
2020/05/18 16:54:54.230, 37.30, 0, 0
2020/05/18 16:54:54.337, 37.39, 0, 0
2020/05/18 16:54:54.439, 37.05, 0, 0
2020/05/18 16:54:54.540, 37.05, 0, 0
2020/05/18 16:54:54.642, 37.30, 0, 0
2020/05/18 16:54:54.743, 37.39, 0, 0
2020/05/18 16:54:54.845, 37.30, 0, 0
2020/05/18 16:54:54.947, 36.81, 0, 0
2020/05/18 16:54:55.048, 36.81, 0, 0
2020/05/18 16:54:55.150, 36.81, 0, 0
2020/05/18 16:54:55.251, 36.81, 0, 0
2020/05/18 16:54:55.353, 36.81, 0, 0
2020/05/18 16:54:55.459, 36.81, 0, 0
2020/05/18 16:54:55.560, 36.81, 0, 0
2020/05/18 16:54:55.662, 36.81, 0, 0
2020/05/18 16:54:55.764, 36.81, 0, 0
2020/05/18 16:54:55.865, 36.81, 0, 0
2020/05/18 16:54:55.967, 36.81, 0, 0
2020/05/18 16:54:56.069, 36.81, 0, 0
2020/05/18 16:54:56.170, 36.81, 0, 0
2020/05/18 16:54:56.272, 36.81, 0, 0
2020/05/18 16:54:56.374, 36.81, 0, 0
2020/05/18 16:54:56.480, 36.81, 0, 0
2020/05/18 16:54:56.582, 36.81, 0, 0
2020/05/18 16:54:56.683, 36.81, 0, 0
2020/05/18 16:54:56.785, 36.81, 0, 0
2020/05/18 16:54:56.887, 36.81, 0, 0
2020/05/18 16:54:56.989, 36.81, 0, 0
2020/05/18 16:54:57.090, 36.81, 0, 0
2020/05/18 16:54:57.192, 36.81, 0, 0
2020/05/18 16:54:57.294, 36.81, 0, 0
2020/05/18 16:54:57.395, 36.81, 0, 0
2020/05/18 16:54:57.502, 36.81, 0, 0
2020/05/18 16:54:57.604, 36.81, 0, 0
2020/05/18 16:54:57.705, 36.81, 0, 0
2020/05/18 16:54:57.807, 36.81, 0, 0
2020/05/18 16:54:57.909, 36.81, 0, 0
2020/05/18 16:54:58.010, 36.81, 0, 0
2020/05/18 16:54:58.112, 36.81, 0, 0
2020/05/18 16:54:58.214, 36.81, 0, 0
2020/05/18 16:54:58.316, 36.81, 0, 0
2020/05/18 16:54:58.417, 36.81, 0, 0
2020/05/18 16:54:58.519, 36.81, 0, 0
2020/05/18 16:54:58.625, 36.81, 0, 0
2020/05/18 16:54:58.726, 36.81, 0, 0
2020/05/18 16:54:58.828, 36.81, 0, 0
2020/05/18 16:54:58.930, 36.81, 0, 0
2020/05/18 16:54:59.033, 36.81, 0, 0
2020/05/18 16:54:59.135, 36.68, 2, 0
2020/05/18 16:54:59.237, 39.14, 2, 0
2020/05/18 16:54:59.339, 39.14, 47, 4
2020/05/18 16:54:59.440, 39.14, 47, 4
2020/05/18 16:54:59.546, 104.99, 73, 6
2020/05/18 16:54:59.648, 108.22, 92, 14
2020/05/18 16:54:59.749, 108.47, 92, 14
2020/05/18 16:54:59.851, 108.65, 100, 17
2020/05/18 16:54:59.952, 108.89, 100, 17
2020/05/18 16:55:00.054, 108.47, 100, 17
2020/05/18 16:55:00.156, 108.71, 100, 17
2020/05/18 16:55:00.258, 108.95, 100, 17
2020/05/18 16:55:00.359, 108.89, 100, 17
2020/05/18 16:55:00.461, 108.65, 100, 17
2020/05/18 16:55:00.563, 108.95, 100, 17
2020/05/18 16:55:00.668, 108.89, 100, 17
2020/05/18 16:55:00.770, 108.89, 100, 17
2020/05/18 16:55:00.871, 109.14, 100, 17
2020/05/18 16:55:00.973, 109.19, 100, 17
2020/05/18 16:55:01.075, 109.14, 100, 17
2020/05/18 16:55:01.176, 108.89, 100, 17
2020/05/18 16:55:01.278, 109.14, 100, 17
2020/05/18 16:55:01.379, 109.14, 100, 17
2020/05/18 16:55:01.481, 109.14, 100, 17
2020/05/18 16:55:01.583, 109.14, 100, 17
2020/05/18 16:55:01.684, 109.14, 100, 17
2020/05/18 16:55:01.790, 108.95, 100, 17
2020/05/18 16:55:01.892, 109.14, 100, 17
2020/05/18 16:55:01.993, 109.19, 100, 17
2020/05/18 16:55:02.095, 109.12, 100, 17
2020/05/18 16:55:02.196, 109.14, 100, 17
2020/05/18 16:55:02.298, 109.38, 100, 17
2020/05/18 16:55:02.399, 109.43, 100, 17
2020/05/18 16:55:02.501, 109.14, 100, 17
2020/05/18 16:55:02.602, 109.38, 100, 17
2020/05/18 16:55:02.704, 109.38, 100, 17
2020/05/18 16:55:02.806, 107.93, 100, 17
2020/05/18 16:55:02.907, 108.89, 100, 17
